Measurment 12 of 26
current angle:	255.00	°
System time:	119,996.23	±	0.01	ms	01' 59.996"
Timer time:	119,995	±	1	ms	01' 59.995"
Live time:	0	±	20	ms	00.000"
Real time:	0	±	20	ms	00.000"
start:	2026-03-09 14:42:42
total counts:	464,689.00
System time total ticks/s:	3,872.530
Real time total ticks/s:	0.00
live time total  ticks/s:	0.00

ch	N	ticks/s
0	199434	1662.00220695182
1	265209	2210.14442524086
2	21	0.175005497287265
3	25	0.208339877722934
