Measurment 19 of 26
current angle:	195.00	°
System time:	119,995.81	±	0.01	ms	01' 59.995"
Timer time:	119,994	±	1	ms	01' 59.994"
Live time:	0	±	20	ms	00.000"
Real time:	0	±	20	ms	00.000"
start:	2026-03-09 14:57:57
total counts:	466,323.00
System time total ticks/s:	3,886.161
Real time total ticks/s:	0.00
live time total  ticks/s:	0.00

ch	N	ticks/s
0	203816	1698.52592540533
1	262472	2187.34297941765
2	13	0.108337113034645
3	22	0.183339729750938
