Measurment 18 of 26
current angle:	210.00	°
System time:	119,995.86	±	0.01	ms	01' 59.995"
Timer time:	119,994	±	1	ms	01' 59.994"
Live time:	0	±	20	ms	00.000"
Real time:	0	±	20	ms	00.000"
start:	2026-03-09 14:55:45
total counts:	464,275.00
System time total ticks/s:	3,869.092
Real time total ticks/s:	0.00
live time total  ticks/s:	0.00

ch	N	ticks/s
0	202627	1688.61662086113
1	261613	2180.18358872877
2	16	0.133337935881093
3	19	0.158338798858797
