Measurment 43 of 78
current angle:	225.00	°
System time:	719,996.20	±	0.01	ms	11' 59.996"
Timer time:	719,986	±	1	ms	11' 59.986"
Live time:	0	±	20	ms	00.000"
Real time:	0	±	20	ms	00.000"
start:	2026-03-09 23:50:47
total counts:	2,750,175.00
System time total ticks/s:	3,819.708
Real time total ticks/s:	0.00
live time total  ticks/s:	0.00

ch	N	ticks/s
0	1211171	1682.19082173923
1	1529954	2124.94732493036
2	3945	5.47919558159935
3	5105	7.09031519494669
