Measurment 40 of 78
current angle:	270.00	°
System time:	719,995.84	±	0.01	ms	11' 59.995"
Timer time:	719,985	±	1	ms	11' 59.985"
Live time:	0	±	20	ms	00.000"
Real time:	0	±	20	ms	00.000"
start:	2026-03-09 23:14:10
total counts:	2,731,012.00
System time total ticks/s:	3,793.094
Real time total ticks/s:	0.00
live time total  ticks/s:	0.00

ch	N	ticks/s
0	1189940	1652.70398846566
1	1532820	2128.92896078789
2	3602	5.00280666794403
3	4650	6.45837062907822
