Measurment 35 of 78
current angle:	210.00	°
System time:	719,996.30	±	0.01	ms	11' 59.996"
Timer time:	719,985	±	1	ms	11' 59.985"
Live time:	0	±	20	ms	00.000"
Real time:	0	±	20	ms	00.000"
start:	2026-03-09 22:13:16
total counts:	2,755,185.00
System time total ticks/s:	3,826.666
Real time total ticks/s:	0.00
live time total  ticks/s:	0.00

ch	N	ticks/s
0	1219216	1693.36426415166
1	1526474	2120.1136810513
2	4116	5.71669606636416
3	5379	7.47087175436657
